Lodging ID,Name,Address,Phone Number,Star Rating,Price,Tag,Tag,Tag
1,The South Beath Plaza Villas,"1411 Collins Ave, Miami Beach, FL 33139",305-531-6421,3,86,terrace,bar,bungalow
2,"The Gale South Beach, Curio Collection by Hilton","1690 Collins Ave, Miami Beach, FL 33139",305-673-0199,4,191,rooftop pool,art deco,dining
3,Iberostar Berkeley Shore Hotel,"16910 Collins Ave, Miami Beach, FL 33139",786-605-0810,4,170,outdoor pool,art deco,dining
4,Marseilles Hotel,"1741 Collins Ave, Miami Beach, FL 33139",800-327-4739,3,154,outdoor pool,dining,cabana
5,Boulevard,"740 Ocean Dr, Miami Beach, FL 33139",305-532-0992,2,132,relaxed,bar,terrace
